run_name,map,episode,return,success,epsilon,alpha,gamma,seed,timestamp
8x8_ref,8x8,130,0.0,0,0.9375209915730345,0.8,0.99,42,2025-11-20T17:55:01.944971
8x8_ref,8x8,131,0.0,0,0.937052231077248,0.8,0.99,42,2025-11-20T17:55:01.944974
8x8_ref,8x8,132,0.0,0,0.9365837049617095,0.8,0.99,42,2025-11-20T17:55:01.944976
8x8_ref,8x8,133,0.0,0,0.9361154131092286,0.8,0.99,42,2025-11-20T17:55:01.944979
8x8_ref,8x8,134,0.0,0,0.9356473554026741,0.8,0.99,42,2025-11-20T17:55:01.944981
8x8_ref,8x8,135,0.0,0,0.9351795317249728,0.8,0.99,42,2025-11-20T17:55:01.944984
8x8_ref,8x8,136,0.0,0,0.9347119419591103,0.8,0.99,42,2025-11-20T17:55:01.944986
8x8_ref,8x8,137,0.0,0,0.9342445859881309,0.8,0.99,42,2025-11-20T17:55:01.944988
8x8_ref,8x8,138,0.0,0,0.9337774636951368,0.8,0.99,42,2025-11-20T17:55:01.944991
8x8_ref,8x8,139,0.0,0,0.9333105749632893,0.8,0.99,42,2025-11-20T17:55:01.944993
8x8_ref,8x8,140,0.0,0,0.9328439196758077,0.8,0.99,42,2025-11-20T17:55:01.944995
8x8_ref,8x8,141,0.0,0,0.9323774977159699,0.8,0.99,42,2025-11-20T17:55:01.944998
8x8_ref,8x8,142,0.0,0,0.9319113089671119,0.8,0.99,42,2025-11-20T17:55:01.945000
8x8_ref,8x8,143,0.0,0,0.9314453533126285,0.8,0.99,42,2025-11-20T17:55:01.945003
8x8_ref,8x8,144,0.0,0,0.9309796306359722,0.8,0.99,42,2025-11-20T17:55:01.945005
8x8_ref,8x8,145,0.0,0,0.9305141408206543,0.8,0.99,42,2025-11-20T17:55:01.945007
8x8_ref,8x8,146,0.0,0,0.930048883750244,0.8,0.99,42,2025-11-20T17:55:01.945010
8x8_ref,8x8,147,0.0,0,0.929583859308369,0.8,0.99,42,2025-11-20T17:55:01.945012
8x8_ref,8x8,148,0.0,0,0.9291190673787147,0.8,0.99,42,2025-11-20T17:55:01.945015
8x8_ref,8x8,149,0.0,0,0.9286545078450255,0.8,0.99,42,2025-11-20T17:55:01.945017
8x8_ref,8x8,150,0.0,0,0.928190180591103,0.8,0.99,42,2025-11-20T17:55:01.945019
8x8_ref,8x8,151,0.0,0,0.9277260855008075,0.8,0.99,42,2025-11-20T17:55:01.945022
8x8_ref,8x8,152,0.0,0,0.9272622224580571,0.8,0.99,42,2025-11-20T17:55:01.945024
8x8_ref,8x8,153,0.0,0,0.9267985913468282,0.8,0.99,42,2025-11-20T17:55:01.945027
8x8_ref,8x8,154,0.0,0,0.9263351920511548,0.8,0.99,42,2025-11-20T17:55:01.945029
8x8_ref,8x8,155,0.0,0,0.9258720244551293,0.8,0.99,42,2025-11-20T17:55:01.945031
8x8_ref,8x8,156,0.0,0,0.9254090884429018,0.8,0.99,42,2025-11-20T17:55:01.945034
8x8_ref,8x8,157,0.0,0,0.9249463838986803,0.8,0.99,42,2025-11-20T17:55:01.945036
8x8_ref,8x8,158,0.0,0,0.9244839107067311,0.8,0.99,42,2025-11-20T17:55:01.945038
8x8_ref,8x8,159,0.0,0,0.9240216687513778,0.8,0.99,42,2025-11-20T17:55:01.945041
8x8_ref,8x8,160,0.0,0,0.9235596579170021,0.8,0.99,42,2025-11-20T17:55:01.945043
8x8_ref,8x8,161,0.0,0,0.9230978780880437,0.8,0.99,42,2025-11-20T17:55:01.945046
8x8_ref,8x8,162,0.0,0,0.9226363291489997,0.8,0.99,42,2025-11-20T17:55:01.945048
8x8_ref,8x8,163,0.0,0,0.9221750109844252,0.8,0.99,42,2025-11-20T17:55:01.945050
8x8_ref,8x8,164,0.0,0,0.9217139234789331,0.8,0.99,42,2025-11-20T17:55:01.945053
8x8_ref,8x8,165,0.0,0,0.9212530665171936,0.8,0.99,42,2025-11-20T17:55:01.945055
8x8_ref,8x8,166,0.0,0,0.9207924399839351,0.8,0.99,42,2025-11-20T17:55:01.945058
8x8_ref,8x8,167,0.0,0,0.9203320437639432,0.8,0.99,42,2025-11-20T17:55:01.945060
8x8_ref,8x8,168,0.0,0,0.9198718777420613,0.8,0.99,42,2025-11-20T17:55:01.945063
8x8_ref,8x8,169,0.0,0,0.9194119418031903,0.8,0.99,42,2025-11-20T17:55:01.945065
8x8_ref,8x8,170,0.0,0,0.9189522358322888,0.8,0.99,42,2025-11-20T17:55:01.945067
8x8_ref,8x8,171,0.0,0,0.9184927597143727,0.8,0.99,42,2025-11-20T17:55:01.945070
8x8_ref,8x8,172,0.0,0,0.9180335133345155,0.8,0.99,42,2025-11-20T17:55:01.945072
8x8_ref,8x8,173,0.0,0,0.9175744965778483,0.8,0.99,42,2025-11-20T17:55:01.945074
8x8_ref,8x8,174,0.0,0,0.9171157093295594,0.8,0.99,42,2025-11-20T17:55:01.945077
8x8_ref,8x8,175,0.0,0,0.9166571514748947,0.8,0.99,42,2025-11-20T17:55:01.945079
8x8_ref,8x8,176,0.0,0,0.9161988228991573,0.8,0.99,42,2025-11-20T17:55:01.945082
8x8_ref,8x8,177,0.0,0,0.9157407234877079,0.8,0.99,42,2025-11-20T17:55:01.945084
8x8_ref,8x8,178,0.0,0,0.915282853125964,0.8,0.99,42,2025-11-20T17:55:01.945086
8x8_ref,8x8,179,0.0,0,0.9148252116994011,0.8,0.99,42,2025-11-20T17:55:01.945089
8x8_ref,8x8,180,0.0,0,0.9143677990935515,0.8,0.99,42,2025-11-20T17:55:01.945091
8x8_ref,8x8,181,0.0,0,0.9139106151940047,0.8,0.99,42,2025-11-20T17:55:01.945094
